code,product,optionGroup,optionValue,saranoniInStock,onMySite,action
SAR-LUSH,Lush Throw Blanket,Color,Walnut,OUT OF STOCK,NO,
SAR-LUSH-MINI,Lush Mini Blanket,Color,Ballet Slipper,OUT OF STOCK,NO,
SAR-LUSH-MINI,Lush Mini Blanket,Color,Feather,YES,YES,
SAR-LUSH-MINI,Lush Mini Blanket,Color,Hazelnut,YES,YES,
SAR-LUSH-MINI,Lush Mini Blanket,Color,Buttermilk,YES,YES,
SAR-LUSH-MINI,Lush Mini Blanket,Color,Chambray,OUT OF STOCK,NO,
SAR-LUSH-MINI,Lush Mini Blanket,Color,Eucalyptus,YES,YES,
SAR-LUSH-MINI,Lush Mini Blanket,Color,Bloom,YES,YES,
SAR-LUSH-MINI,Lush Mini Blanket,Color,Navy,OUT OF STOCK,NO,
SAR-LUSH-MINI,Lush Mini Blanket,Color,Storm Cloud,OUT OF STOCK,NO,
SAR-LUSH-MINI,Lush Mini Blanket,Color,Hunter,YES,YES,
SAR-LUSH-MINI,Lush Mini Blanket,Color,Natural,OUT OF STOCK,NO,
SAR-LUSH-MINI,Lush Mini Blanket,Color,Fairy Wings,YES,YES,
SAR-LUSH-MINI,Lush Mini Blanket,Color,Gray,YES,YES,
SAR-LUSH-MINI,Lush Mini Blanket,Color,Rosy,YES,YES,
SAR-LUSH-MINI,Lush Mini Blanket,Color,Fern,YES,YES,
SAR-LUSH-MINI,Lush Mini Blanket,Color,Blossom,OUT OF STOCK,NO,
SAR-LUSH-MINI,Lush Mini Blanket,Color,Seagrass,YES,YES,
SAR-LUSH-MINI,Lush Mini Blanket,Color,Chiffon,YES,YES,
SAR-LUSH-MINI,Lush Mini Blanket,Color,Camel,OUT OF STOCK,NO,
SAR-LUSH-MINI,Lush Mini Blanket,Color,Mineral Blue,OUT OF STOCK,NO,
SAR-LUSH-MINI,Lush Mini Blanket,Color,Primrose,YES,YES,
SAR-LUSH-MINI,Lush Mini Blanket,Color,Charcoal,YES,YES,
SAR-LUSH-MINI,Lush Mini Blanket,Color,Aubergine,OUT OF STOCK,NO,
SAR-LUSH-RCV,Lush Receiving Blanket,Color,Ballet Slipper,YES,YES,
SAR-LUSH-RCV,Lush Receiving Blanket,Color,Bloom,OUT OF STOCK,NO,
SAR-LUSH-RCV,Lush Receiving Blanket,Color,Hunter,OUT OF STOCK,NO,
SAR-LUSH-RCV,Lush Receiving Blanket,Color,Storm Cloud,YES,YES,
SAR-LUSH-RCV,Lush Receiving Blanket,Color,Natural,YES,YES,
SAR-LUSH-RCV,Lush Receiving Blanket,Color,Hazelnut,OUT OF STOCK,NO,
SAR-LUSH-RCV,Lush Receiving Blanket,Color,Rosy,YES,YES,
SAR-LUSH-RCV,Lush Receiving Blanket,Color,Seagrass,YES,YES,
SAR-LUSH-RCV,Lush Receiving Blanket,Color,Fairy Wings,YES,YES,
SAR-LUSH-RCV,Lush Receiving Blanket,Color,Blossom,OUT OF STOCK,NO,
SAR-LUSH-RCV,Lush Receiving Blanket,Color,Navy,OUT OF STOCK,NO,
SAR-LUSH-RCV,Lush Receiving Blanket,Color,Fern,YES,YES,
SAR-LUSH-RCV,Lush Receiving Blanket,Color,Gray,OUT OF STOCK,NO,
SAR-LUSH-RCV,Lush Receiving Blanket,Color,Chiffon,OUT OF STOCK,NO,
SAR-LUSH-RCV,Lush Receiving Blanket,Color,Charcoal,YES,YES,
SAR-LUSH-RCV,Lush Receiving Blanket,Color,Chambray,YES,YES,
SAR-LUSH-RCV,Lush Receiving Blanket,Color,Buttermilk,OUT OF STOCK,NO,
SAR-LUSH-RCV,Lush Receiving Blanket,Color,Feather,OUT OF STOCK,NO,
SAR-LUSH-RCV,Lush Receiving Blanket,Color,Aubergine,YES,YES,
SAR-LUSH-RCV,Lush Receiving Blanket,Color,Primrose,YES,YES,
SAR-LUSH-RCV,Lush Receiving Blanket,Color,Eucalyptus,OUT OF STOCK,NO,
SAR-LUSH-RCV,Lush Receiving Blanket,Color,Mineral Blue,YES,YES,
SAR-LUSH-TOD,Lush Toddler Blanket,Color,Ballet Slipper,YES,YES,
SAR-LUSH-TOD,Lush Toddler Blanket,Color,Bloom,YES,YES,
SAR-LUSH-TOD,Lush Toddler Blanket,Color,Hunter,YES,YES,
SAR-LUSH-TOD,Lush Toddler Blanket,Color,Feather,YES,YES,
SAR-LUSH-TOD,Lush Toddler Blanket,Color,Fairy Wings,YES,YES,
SAR-LUSH-TOD,Lush Toddler Blanket,Color,Storm Cloud,OUT OF STOCK,NO,
SAR-LUSH-TOD,Lush Toddler Blanket,Color,Eucalyptus,YES,YES,
SAR-LUSH-TOD,Lush Toddler Blanket,Color,Hazelnut,OUT OF STOCK,NO,
SAR-LUSH-TOD,Lush Toddler Blanket,Color,Primrose,YES,YES,
SAR-LUSH-TOD,Lush Toddler Blanket,Color,Navy,YES,YES,
SAR-LUSH-TOD,Lush Toddler Blanket,Color,Blossom,YES,YES,
SAR-LUSH-TOD,Lush Toddler Blanket,Color,Fern,YES,YES,
SAR-LUSH-TOD,Lush Toddler Blanket,Color,Buttermilk,YES,YES,
SAR-LUSH-TOD,Lush Toddler Blanket,Color,Charcoal,YES,YES,
